# beta(deg),gamma(deg)
36.726,109.262
113.413,257.641
66.587,257.641
113.413,102.359
66.587,102.359
117.404,257.244
62.596,257.244
117.404,102.756
62.596,102.756
163.985,225.963
16.015,225.963
163.985,134.037
16.015,134.037
129.389,255.965
50.611,255.965
129.389,104.035
50.611,104.035
168.957,200.348
11.043,200.348
168.957,159.652
11.043,159.652
121.947,258.268
58.053,258.268
121.947,101.732
58.053,101.732
154.802,247.780
25.198,247.780
154.802,112.220
25.198,112.220
140.519,255.461
39.481,255.461
140.519,104.539
39.481,104.539
168.358,221.325
11.642,221.325
168.358,138.675
11.642,138.675
126.505,259.432
53.495,259.432
126.505,100.568
53.495,100.568
90.000,262.327
90.000,97.673
98.717,262.252
81.283,262.252
98.717,97.748
81.283,97.748
106.854,262.038
73.146,262.038
106.854,97.962
73.146,97.962
114.984,261.642
65.016,261.642
114.984,98.358
65.016,98.358
159.249,249.721
20.751,249.721
159.249,110.279
20.751,110.279
166.500,238.283
13.500,238.283
166.500,121.717
13.500,121.717
137.637,259.639
42.363,259.639
137.637,100.361
42.363,100.361
131.017,260.761
48.983,260.761
131.017,99.239
48.983,99.239
151.563,255.434
28.437,255.434
151.563,104.566
28.437,104.566
144.308,258.223
35.692,258.223
144.308,101.777
35.692,101.777
172.590,211.146
7.410,211.146
172.590,148.854
7.410,148.854
123.495,262.663
56.505,262.663
123.495,97.337
56.505,97.337
163.874,252.936
16.126,252.936
163.874,107.064
16.126,107.064
134.477,263.516
45.523,263.516
134.477,96.484
45.523,96.484
147.998,261.486
32.002,261.486
147.998,98.514
32.002,98.514
176.035,180.000
3.965,180.000
92.364,266.170
87.636,266.170
96.338,266.151
83.662,266.151
96.338,93.849
83.662,93.849
92.364,93.830
87.636,93.830
100.346,266.118
79.654,266.118
104.319,266.061
75.681,266.061
104.319,93.939
75.681,93.939
100.346,93.882
79.654,93.882
108.468,266.007
71.532,266.007
112.440,265.906
67.560,265.906
112.440,94.094
67.560,94.094
108.468,93.993
71.532,93.993
116.447,265.784
63.553,265.784
120.418,265.627
59.582,265.627
120.418,94.373
59.582,94.373
116.447,94.216
63.553,94.216
152.222,264.916
27.778,264.916
160.325,262.954
19.675,262.954
160.325,97.046
19.675,97.046
152.222,95.084
27.778,95.084
168.196,258.367
11.804,258.367
175.500,238.283
4.500,238.283
175.500,121.717
4.500,121.717
168.196,101.633
11.804,101.633
138.030,266.513
41.970,266.513
144.838,265.950
35.162,265.950
144.838,94.050
35.162,94.050
138.030,93.487
41.970,93.487
124.894,267.160
55.106,267.160
131.367,266.896
48.633,266.896
131.367,93.104
48.633,93.104
124.894,92.840
55.106,92.840
93.965,270.000
86.035,270.000
101.894,270.000
78.106,270.000
109.823,270.000
70.177,270.000
117.753,270.000
62.247,270.000
128.147,270.000
51.853,270.000
141.516,270.000
38.484,270.000
156.361,270.000
23.639,270.000
172.327,270.000
7.673,270.000
172.327,90.000
7.673,90.000
156.361,90.000
23.639,90.000
141.516,90.000
38.484,90.000
128.147,90.000
51.853,90.000
117.753,90.000
62.247,90.000
109.823,90.000
70.177,90.000
101.894,90.000
78.106,90.000
93.965,90.000
86.035,90.000
124.894,272.840
55.106,272.840
131.367,273.104
48.633,273.104
131.367,86.896
48.633,86.896
124.894,87.160
55.106,87.160
138.030,273.487
41.970,273.487
144.838,274.050
35.162,274.050
144.838,85.950
35.162,85.950
138.030,86.513
41.970,86.513
168.196,281.633
11.804,281.633
175.500,301.717
4.500,301.717
175.500,58.283
4.500,58.283
168.196,78.367
11.804,78.367
152.222,275.084
27.778,275.084
160.325,277.046
19.675,277.046
160.325,82.954
19.675,82.954
152.222,84.916
27.778,84.916
116.447,274.216
63.553,274.216
120.418,274.373
59.582,274.373
120.418,85.627
59.582,85.627
116.447,85.784
63.553,85.784
108.468,273.993
71.532,273.993
112.440,274.094
67.560,274.094
112.440,85.906
67.560,85.906
108.468,86.007
71.532,86.007
100.346,273.882
79.654,273.882
104.319,273.939
75.681,273.939
104.319,86.061
75.681,86.061
100.346,86.118
79.654,86.118
92.364,273.830
87.636,273.830
96.338,273.849
83.662,273.849
96.338,86.151
83.662,86.151
92.364,86.170
87.636,86.170
176.035,0.000
3.965,0.000
147.998,278.514
32.002,278.514
147.998,81.486
32.002,81.486
134.477,276.484
45.523,276.484
134.477,83.516
45.523,83.516
163.874,287.064
16.126,287.064
163.874,72.936
16.126,72.936
123.495,277.337
56.505,277.337
123.495,82.663
56.505,82.663
172.590,328.854
7.410,328.854
172.590,31.146
7.410,31.146
144.308,281.777
35.692,281.777
144.308,78.223
35.692,78.223
151.563,284.566
28.437,284.566
151.563,75.434
28.437,75.434
131.017,279.239
48.983,279.239
131.017,80.761
48.983,80.761
137.637,280.361
42.363,280.361
137.637,79.639
42.363,79.639
166.500,301.717
13.500,301.717
166.500,58.283
13.500,58.283
159.249,290.279
20.751,290.279
159.249,69.721
20.751,69.721
114.984,278.358
65.016,278.358
114.984,81.642
65.016,81.642
106.854,277.962
73.146,277.962
106.854,82.038
73.146,82.038
98.717,277.748
81.283,277.748
